2025-03-27 01:54:47.602 | DEBUG    | config:67 | Configurazione caricata da config.json
2025-03-27 01:54:47.602 | DEBUG    | config:118 | Inizio calcolo percorso di output per: c:\sources\python-workspace
2025-03-27 01:54:47.602 | DEBUG    | config:127 | Nome della cartella target: python-workspace
2025-03-27 01:54:47.602 | DEBUG    | config:131 | Template di output: .\_artifacts\{target}.xml
2025-03-27 01:54:47.603 | DEBUG    | config:155 | Placeholders: {'target': 'python-workspace', 'timestamp': '20250327_015447'}
2025-03-27 01:54:47.603 | DEBUG    | config:160 | Percorso di output generato: .\_artifacts\python-workspace.xml
2025-03-27 01:54:47.607 | DEBUG    | xml_generator:115 | Elaborazione della cartella: python-workspace
2025-03-27 01:54:47.608 | DEBUG    | xml_generator:129 | Ignorata cartella: .git
2025-03-27 01:54:47.609 | DEBUG    | xml_generator:142 | Ignorato file: .gitignore
2025-03-27 01:54:47.609 | DEBUG    | xml_generator:129 | Ignorata cartella: .vscode
2025-03-27 01:54:47.611 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:54:47.686 | DEBUG    | xml_generator:115 | Elaborazione della cartella: FS-DAD
2025-03-27 01:54:47.688 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:54:47.705 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:54:47.722 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:54:47.727 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:54:47.728 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:54:47.731 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:54:47.744 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:54:47.744 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:54:47.774 | DEBUG    | api:479 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:54:47.775 | DEBUG    | xml_generator:115 | Elaborazione della cartella: logs
2025-03-27 01:54:47.775 | DEBUG    | xml_generator:142 | Ignorato file: myapp_data_processor_20250327_014728.log
2025-03-27 01:54:47.776 | DEBUG    | xml_generator:142 | Ignorato file: myapp_data_processor_20250327_014746.log
2025-03-27 01:54:47.776 | DEBUG    | xml_generator:142 | Ignorato file: myapp_data_processor_20250327_015303.log
2025-03-27 01:54:47.776 | DEBUG    | xml_generator:142 | Ignorato file: myapp_data_processor_20250327_015447.log
2025-03-27 01:54:47.794 | DEBUG    | api:479 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:54:47.794 | DEBUG    | xml_generator:129 | Ignorata cartella: _artifacts
2025-03-27 01:54:47.794 | DEBUG    | xml_generator:115 | Elaborazione della cartella: _logs
2025-03-27 01:54:47.794 | DEBUG    | xml_generator:115 | Elaborazione della cartella: _modules
2025-03-27 01:54:47.795 | DEBUG    | xml_generator:115 | Elaborazione della cartella: file_utils
2025-03-27 01:54:47.808 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:54:47.809 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:54:47.809 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:54:47.809 | DEBUG    | xml_generator:115 | Elaborazione della cartella: logging
2025-03-27 01:54:47.823 | DEBUG    | api:461 | Encoding detection: utf_8 is most likely the one.
2025-03-27 01:54:47.823 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:54:47.824 | DEBUG    | api:461 | Encoding detection: ascii is most likely the one.
2025-03-27 01:54:47.824 | DEBUG    | xml_generator:129 | Ignorata cartella: __pycache__
2025-03-27 01:54:47.825 | INFO     | fs-dad:128 | XML generato: .\_artifacts\python-workspace.xml
